1,2022,9,29
2,2023,10,07
3,2023,12,30
4,2021,6,09
5,2022,1,07
6,2022,2,26
7,2023,12,26
8,2019,3,01
9,2023,5,11
10,2019,5,19
11,2019,5,04
12,2020,7,21
13,2021,5,04
14,2022,3,03
15,2021,11,04
16,2019,10,24
17,2019,12,13
18,2021,7,18
19,2020,3,23
20,2022,10,28
21,2021,3,09
22,2021,11,09
23,2020,1,22
24,2021,2,23
25,2019,3,06
26,2020,2,14
27,2023,8,24
28,2019,1,30
29,2020,8,09
30,2019,9,25
31,2020,6,22
32,2022,9,11
33,2019,11,24
34,2022,9,01
35,2019,5,12
36,2021,8,23
37,2019,2,06
38,2022,6,15
39,2019,3,30
40,2022,11,27
41,2019,5,14
42,2019,5,27
43,2020,11,21
44,2019,2,21
45,2020,10,10
46,2021,5,10
47,2019,1,22
48,2022,9,24
49,2023,12,30
50,2020,11,27
51,2021,8,18
52,2023,11,09
53,2023,11,28
54,2022,5,13
55,2022,8,16
56,2020,3,04
57,2020,6,11
58,2023,1,02
59,2023,1,30
60,2019,12,09
61,2019,12,25
62,2021,5,26
63,2019,5,10
64,2023,7,12
65,2022,2,24
66,2020,12,21
67,2020,3,25
68,2022,9,23
69,2022,2,22
70,2021,9,12
71,2023,4,20
72,2020,1,19
73,2023,4,11
74,2021,9,09
75,2023,1,09
76,2020,9,03
77,2019,11,28
78,2020,9,17
79,2022,1,01
80,2022,6,07
81,2019,5,06
82,2019,6,30
83,2019,11,09
84,2019,3,18
85,2019,10,27
86,2019,8,21
87,2021,9,28
88,2022,11,15
89,2023,10,02
90,2019,10,11
91,2019,9,28
92,2019,1,28
93,2020,1,26
94,2019,9,04
95,2021,11,31
96,2022,7,15
97,2023,1,01
98,2019,10,26
99,2020,9,10
100,2023,5,10
101,2021,5,21
102,2023,12,19
103,2020,5,20
104,2021,10,27
105,2020,4,22
106,2020,5,07
107,2019,4,04
108,2022,11,08
109,2020,1,17
110,2019,8,26
111,2022,9,29
112,2019,12,02
113,2021,4,07
114,2020,11,12
115,2023,12,28
116,2019,12,31
117,2020,7,22
118,2020,10,28
119,2023,10,02
120,2021,7,25
121,2020,3,13
122,2020,12,01
123,2021,11,06
124,2021,11,11
125,2020,7,16
126,2019,8,04
127,2021,2,04
128,2022,5,05
129,2019,10,23
130,2020,5,05
131,2020,1,29
132,2019,4,06
133,2023,7,19
134,2022,1,15
135,2021,1,20
136,2020,8,20
137,2022,3,10
138,2020,6,11
139,2023,11,03
140,2020,2,27
141,2023,5,03
142,2023,10,23
143,2023,3,11
144,2019,1,15
145,2021,9,24
146,2022,9,08
147,2021,5,11
148,2023,12,19
149,2023,5,14
150,2019,2,24
151,2023,2,16
152,2020,7,16
153,2022,4,12
154,2020,5,21
155,2022,5,23
156,2022,9,18
157,2019,11,12
158,2022,12,03
159,2020,6,13
160,2022,1,02
161,2021,3,03
162,2020,4,18
163,2023,9,29
164,2022,11,18
165,2020,6,22
166,2021,3,26
167,2020,1,03
168,2022,2,13
169,2022,4,01
170,2021,3,09
171,2019,3,28
172,2023,8,31
173,2023,1,21
174,2023,1,25
175,2021,10,19
176,2020,5,01
177,2022,9,19
178,2022,12,06
179,2020,9,15
180,2020,11,06
181,2022,9,06
182,2021,12,31
183,2021,12,30
184,2023,10,25
185,2019,5,21
186,2019,12,25
187,2019,6,15
188,2023,6,12
189,2021,5,24
190,2022,5,19
191,2021,9,20
192,2023,4,15
193,2021,11,28
194,2023,2,24
195,2023,2,06
196,2021,9,22
197,2023,5,25
198,2020,3,20
199,2022,8,15
200,2020,3,02
201,2023,2,03
202,2021,11,23
203,2021,10,02
204,2020,8,01
